Incident name,Brief description of the incident,What is the motive? Why is the state cracking down? (if known),Country where incident took place,Date of incident,Year of incident
"Turkey’s media watchdog seeks a court order to block access to the Turkish language services of Deutsche Welle (DW), Voice of America (VoA), and Euronews.","RTUK, which is the country's media watchdog, announced in February that unless the three international media platforms do not comply with RTUK's requirement to obtain a broadcasting license, it would block access to all three websites' Turkish language services. All three platforms - DW, Euronews, and VoA refused to comply with the requirement, saying in their statements that RTUK's requirement was a clear act of censorship. The court is yet to make its decision. ","The overall motive is to silence independent media. In this case, it is an attempt to silence foreign media, but rather than blocking their original websites, the watchdog is trying to block the Turkish language services of these news platforms. It is not at all the state is resorting to these measures at this point. Having accumulated control over national media (with an exception of a handful of newsrooms that continue to exist despite the pressure), the state in Turkey is moving towards silencing international news platforms. ",Turkey,25 February 2022,2022
Supreme Court determines Telegram to be blocked in Brazil,"On Thursday, March 17th, 2022, a monocratic decision by Supreme Court Justice Alexandre de Moraes mandated internet and data providers in Brazil to ""disable the use"" of Telegram in Brazil within 72 hours. The process was in secrecy, but it was leaked on Friday, when the country came to know about it. ","The decision was motivated by Telegram's non-compliance with previous court orders from the Supreme Court and the Supreme Electoral Court and an overall lack of cooperation with Brazilian authorities in the context of a program to fight misinformation in the 2022 Presidential Elections. Telegram also does not have a legal representative in Brazil, which has made the relationship with institutions unsustainable. 

More specifically, this decision by Justice Alexandre de Moraes was made on top of a representation by the Federal Police in the context of an investigation against far-right blogger Allan dos Santos, who is being investigated due to his involvement in a fake news scheme and the organization of anti-democratic demonstrations. The Federal Police was attempting to enforce against Telegram a court order by the Supreme Court in which the platform had to suspend Allan dos Santos from their service. 
",Brazil,17 March 2022,2022
Internet disruptions on networks served by government-owned operator TelOne Recorded,"The Zimbabwe Republic Police stopped opposition party leader Nelson Chamisa from holding a rally on the 13th of March, 2022. Although the police blocked the rally from taking place, thousands of citizens took to the streets of Marondera to protest the police prohibition. Internet watchdog NetBlocks reported that there were significant disruptions on networks served by the government-owned operator TelOne. This disruption limited coverage of the protest and an anticipated political rally by the opposition leader. NetBlocks reported that data collated corroborated user reports of unexplained outages over the weekend of the planned rally, which was banned.
","Government and the ruling ZANU PF party remain in a state of paranoia about how to control the sweeping political tide of supporters, whom opposition leader Chamisa is gaining. His increased popularity poses an existential threat to the ruling party's political hegemony. Digital authoritarianism coupled with police force seems the only way out for the ruling party in order to stem Chamisa's growing popularity.  ",Zimbabwe,13 March 2022,2022
Russia's invasion of Ukraine,"On February 24 2022, Russia began a large-scale invasion of Ukraine that was presented to the Russian public as a ""special operation to protect Russian speakers in Donbas region"". To police real coverage of the war in Russia, Russian officials cracked down on the remaining independent media and social media platforms, passing a new law that criminalised any coverage of the war not aligned with state rules (e.g., calling it a ""war"") and blocking a number of major social media platforms and independent media, including Facebook, Instagram and Twitter. The remaining independent journalists fled the country. Platforms began restricting access to Russian state-owned media.",The Russian government seeks to conceal the real motives and events in its attack on Ukraine.,Russia,24 February 2022,2022
Russia's invasion of Ukraine,"On February 24 2022, Russia began a large-scale invasion of Ukraine that was presented to the Russian public as a ""special operation to protect Russian speakers in Donbas region"". To police real coverage of the war in Russia, Russian officials cracked down on the remaining independent media and social media platforms, passing a new law that criminalised any coverage of the war not aligned with state rules (e.g., calling it a ""war"") and blocking a number of major social media platforms and independent media, including Facebook, Instagram and Twitter. The remaining independent journalists fled the country. Platforms began restricting access to Russian state-owned media.",The Russian government seeks to conceal the real motives and events in its attack on Ukraine.,Ukraine,24 February 2022,2022
Turkey's Interior Ministry detains 400 social media users for COVID-19 comments,"In April 2020, Turkey's Interior Ministry said it had detained over 400 users of social media accounts on the ground that these users shared ""provocative"" information. In total, the ministry said they have analyzed 6,362 social media accounts and deemed 855 users as ""suspicious."" 402 of these users were detained. ","The Ministry of Interior tracked users who were critical of government policies with regard to COVID 19, especially about the authorities hiding the true numbers (it turned out to be true because from March until September, people were only given information about diagnosed/symptomatic patients and only after much criticism and leaking of documents from hospitals doing tests did the real numbers begin to include/ reflect asymptomatic patients too). Mass lockdowns and few government incentives to support the public at large — especially those who were forced to stay home with no financial support or security — were common points of discussion online. The state was not at all excited to see this criticism and hence went on a witch hunt. And this continued for months on end. Not only were social media users targeted, but also journalists. ",Turkey,27 April 2020,2020
"Restrictions on the Internet, communication and movement in Jammu and Kashmir","A day before the Union government abrogated Section 370, which gave special status to Jammu and Kashmir, it imposed restrictions on movement and connectivity. Besides targeting the internet and telecommunications, there were also restrictions on movement on the ground; local leaders were detained, and the press was not allowed to report freely. 
This was the beginning of a series of communication blockades in the form of social media bans, landline restrictions, provision of only 2G services, etc. 4G services were restored on 5th February 2021.",The abrogation of Article 370 intensified the internet and communications restrictions in the region. Critics of the move claim the state did this to curb dissent and retaliation. ,India,,
Communications blackouts during Hirak protests,"Between 2016 and 2017, internet and network shutdowns were reported in rural areas including Al-Hoceima to silence Hirak Al Rif protestors and to oppress journalists who were covering the protests. Moroccan authorities ordered telcos and internet service providers to block both internet and phone network connections during protests. Local residents in Al-Hoceima also reported disrupted or inconsistent access to popular communication platforms such as Facebook, Twitter, and WhatsApp, including Facebook live, which was a critical tool for broadcasting and mobilizing during the Al Hirak movement. ",To clamp down on pro-democracy protests against the regime.,Morocco,20 July 2017,2017
Sudanese military refused internet restoration using the law as an excuse,"Authorities in Sudan refused to restore internet services, stating that it threatens national security as per the Telecommunication and Post Regulation law.","The ostensible aim is to isolate the resistance groups from each other to avoid any type of coordination to confront the coup. Also, what motivates the authorities is the fear of accountability, because the documentation of violence can be used as evidence in the accountability process.",Sudan,11 November 2021,2021
Sexual disinformation campaigns against female journalist Hajar Raissouni,"Female journalist Hajar Raissouni, a journalist in Akhbar Al-Yum (one of the country's last independent newspapers) was arrested on charges of “illegal abortion” and “sex outside marriage” and sentenced on September 30. 2019 to a year in prison before she was released with a royal pardon. The incident sparked a storm within civil society and spurred a wide debate in the Moroccan media about freedom of the press, women’s rights, and laws that protect people’s privacy. The defamation machine was launched against Hajar by media outlets close to the authorities, such as Chouf TV and Barlamane, starting with digging into the most intimate aspects of her private life, ending with accusing her of becoming “pregnant'' by her manager, Taoufik Bouachrine, and calling for Hajar's arrest. Moroccan authorities sought to prove the charges at any cost, including forcing her to undergo a medical examination without her consent. According to the Pegasus project, Hajar Raissouni has also been targeted by NSO's Pegasus spyware.","Hajar is a well-known journalist and a regime critic who used to work for Akhbar al-Youm newspaper, one of the last independent media outlets in Morocco.",Morocco,30 September 2019,2019
Bolsonaro's meeting with WhatsApps,"Brazilian President Jair Bolsonaro meet with WhatsApp representatives in the Planalto Palace. According to a Folha de S. Paulo report, during the meeting, Bolsonaro insisted that WhatsApp launch its 'community' function in Brazil before the October 2022 general elections, despite a previous announcement from the company that it will only do so after the vote. The product is set to launch globally in September, one month before the Brazilian elections.","The motive is not 100% clear, but looking at it from an electoral perspective, we understand that WhatsApp is a very important tool for Bolsonaro's campaign due to its infrastructure. It allows information (including false and fabricated information) to spread easily and reach hundreds of thousands of people across the country, as it is present in 99% of Brazilians' phones. In 2018, it was crucial in helping him win, and is probably viewed as an important part of Bolsanaro's electoral strategy for 2022. ",Brazil,27 April 2022,2022
"Brazilian Federal Police tells Supreme Court that ""digital militia"" is behind attacks on democracy","The Brazilian Federal Police told the Supreme Court that a ""digital militia"" operates to attack institutions and democracy, using the structure of the so-called ""Hate Cabinet"", a group of presidential aides and allies that operate from within the presidential palace. This information was part of a preliminary report the Federal Police delivered to the Supreme Court, where a probe related to the digital militias is also ongoing.  ","The Federal Police commissioner defines these ""digital militias"" as a supposedly criminal organization aimed at ""creating, publishing and diffusing messages with content that touches on criminal practices — slander, defamation, breach of professional confidentiality, among others — with the objective of ensuring financial and/or partisan benefits to the involved"", according to a report obtained by Globo's Jornal Nacional. 
",Brazil,11 February 2022,2022
India directs Twitter to remove tweets critical of the government's handling of the COVID-19 crisis,"In April 2021, amidst the deadly second wave, the government sent a legal request to Twitter to take down tweets, citing a violation of the Information Technology Act 2000. This request was complied with by the social media giant. While the government claims this was done to curb misinformation and fake news, critics point out that many of these tweets were critical of the government's mishandling of the pandemic. ",The government claims that social media was used to spread fake news and misinformation. ,India,24 April 2021,2021
Salvadoran journalists targeted with Pegasus spyware,"In January 2022, Access Now and the Citizen Lab confirmed that several journalists were targeted with the use of NSO Group’s Pegasus spyware on a massive scale in El Salvador.  The mobile phones of 35 journalists from six media outlets were infected by this spyware from July 2020 to November 2021. The Salvadoran government denied its participation and is reluctant to investigate this case of espionage.","While the government has not acknowledged its involvement, let alone talk about motivations, there is a coincidence between the time of this espionage to several journalists coming out with investigative publications about public official corruption during the COVID-19 pandemic, and secret negotiations between the government and gangs. It is therefore possible that the state wanted to keep track of these journalists to find out who their sources were and whether they planned on releasing more damning evidence about the government.",El Salvador,13 July 2020,2020
India: Mohammed Zubair is arrested for a social media post,"On 27 June 2022, Alt-news co-founder Mohammed Zubair was arrested by the Delhi Police’s Cyber Crime Unit following a complaint made by an anonymous user with the Twitter name ‘Hanuman Bhakt’ (English translation: a devotee of the Hindu God Hanuman).  The Tweet in question used an old movie poster to make a joke about how India had changed from after 2014 (the year when Prime Minister Narendra Modi came to power). In the poster, the word ""Honeymoon"" hotel has been changed to ""Hanuman hotel"" and Zubair tweeted, ""Before 2014: Honeymoon Hotel and After 2014: Hanuman Hotel"". The subtext here is that Zubair was poking fun at the prevalence of Hindutva (Hindu supremacy ideology) that has gained momentum after the BJP came to power in 2014.

The Twitter user who reported the tweet to the police officials stated that Zubair had insulted the Hindu God Hanuman by making a reference to Honeymoon, especially as Hanuman is considered to be a ""Brahmchari"" (celibate) who does not engage in sexual acts. 

Following the complaint, Zubair was charged under Section 153A and Section 295A of the Indian Penal code (IPC). Under Section 153, an individual can be charged for “promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, etc., and doing acts prejudicial to maintenance of harmony,” while Section 295 A penalises “deliberate and malicious acts, intended to outrage reli­gious feelings of any class by insulting its religion or reli­gious beliefs.” On July 2, 2022, additional charges of criminal conspiracy, causing the disappearance of evidence and violating foreign funding rules, were also filed against him by the police

In addition to the 2018 tweet case, over the next few weeks, new First Incident Reports (FIRs) were lodged for content Zubair had posted, and previous cases were investigated — essentially a legal witch hunt. Eventually, a ""Special Investigation Team"" was formed to probe six out of seven cases. On July 15, 2022, a Delhi court granted Zubair bail subject to certain conditions in the 2018 tweet case, reasoning that “The voice of dissent is necessary for a healthy democracy. Therefore, for mere criticism of any political parties it is not justified to invoke Section 153A (promoting enmity) and 295A (deliberate and malicious acts to outrage religious feelings) of the IPC.” The court also held that Zubair had not violated the foreign funding rules. However, he continued to be held in the other cases. On July 19, 2022, looking into the matter, the Supreme Court expressed concern about the “vicious cycle” of him getting bail in one case only to be held in another despite the contents of the FIRs filed being “similar” and decided to club the cases together. A day later, the SC granted him conditional bail in all cases and rejected the state government of Uttar Pradesh’s plea to stop him from tweeting. ","The exact motive is unclear as there are multiple perspectives on the issue. According to media sources, the Delhi police said, “The said post of Mohd. Zubair containing picture & words against a particular religious community are highly provocative & done deliberately which are more than sufficient to incite hatred among people which can be detrimental for maintenance of public tranquillity.” 

In another statement, reported in The Hindustan Times, a police official investigating the matter has said efforts will be made to “bust the social media brigade which Zubair has.” The official added, “It appears that his tweets are planned and pushed in a concerted manner. They are amplified by an army of people. If these are bots then who is paying these bots. We are digging deep into this network that amplifies his tweets.” 

On the other hand, press bodies such as the Editor's Guild of India, have attributed the arrest to Altnews' role in debunking mis/disinformation in the country. They call the arrest 'disturbing' in the statement and note that ""It is apparent that AltNews' alert vigilance was resented by those who use disinformation as a tool to polarise society and rake nationalist sentiments.""
",India,27 June 2022,2022
Tanzania: Parliament to table proposal for data protection law,"Over the years, there have been calls by ICT stakeholders for the Tanzanian government to enact a Data Protection Act in efforts to guarantee the privacy of personal data. These calls seem to have borne fruit as the cabinet just approved a draft Data Protection Bill that was scheduled to be tabled in parliament for the first time on the 13th of September 2022. However, with the increasing number of cases where dissenting voices are being arrested and detained by the state security apparatus, it is widely feared that this proposed law will be used to crack down on people who criticize the government using online platforms. The idea behind enacting such a law is purportedly meant to protect citizens' privacy rights, yet the motive is the entrenching of digital authoritarianism, with the law being used to silence voices of dissent.","The government is seeking to regulate data on digital platforms in a bid to curb the abuse of citizens' personal liberties. There is concern over the sharing of information with third parties without the consent of users, with the ICT Minister proposing an examination of what he terms ethics of internet use 'to the extent that it is governable.' This has raised concern among civil society and other stakeholders that the proposed law must be drafted cautiously, while taking into account citizens' rights enshrined in the constitution.
Considering the government's increasingly authoritarian stance, targeting journalists, activists and voices of dissent, it is imperative to note that a swiftly-passed data protection act which fails to factor in the input of the broad range of stakeholders would be inimical to democracy in the country. The government usually passes laws which swiftly sail through parliament, where the ruling party has a majority vote. On the balance of probabilities, the government is likely interested in passing a law that would criminalize freedom of the media and freedom of speech online, as the security establishment is already clamping down on voices of dissent. In other words, the state is likely seeking a legal means to crack down on civil society activists, journalists and political opponents, who may be a thorn in the flesh of the state apparatus.",Tanzania,8 September 2022,2022
Zimbabwe Journalist Hopewell Chin’ono’s freedom bid flops again,"A Harare court, on the 22nd of June 2022, dismissed independent journalist Hopewell Chin'ono's application for removal from remand, after he was accused of having obstructed the course of justice. He is accused of tweeting statements likely to incite public violence and for obstruction of justice. He was arrested and imprisoned over both tweets in January and November 2021. The latest dismissed court case is related to Chin'ono having tweeted statements deemed to be an obstruction of public justice ahead of a judicial decision in November 2021. 
Lancelot Mutsokoti, who represented the state, had requested the court to postpone the matter to the 6th of July  2022, arguing that the docket was still in the possession of the Prosecutor-General’s Office. Only after it is released and availed by the Prosecutor-General can it be brought to court for trial.
However, the State has continually requested for postponement of the trial, citing a plethora of reasons. For instance, the State at one stage once argued that it hadn't yet received a response from Twitter's head office to verify if Chin'ono's Twitter credentials matched the credentials in the database of authorized users and the data authentication server.
Chin’ono then recommended to the court to check with the Africa Desk in Ireland, where queries from Africa are dealt with. The legal persecution of Chin'ono is ongoing and under the media spotlight.","Hopewell Chin'ono is a known government critic and investigative journalist reputed for exposing corruption and nepotism in the government. He has been a thorn in the state's efforts to cover up apparent cases of corruption and abuse of taxpayers' funds, hence his continued persecution and legal harassment would be in President Emmerson Mnangagwa's interests to intimidate other journalists from pursuing similar investigative exposes. As a whistleblowing journalist, Chin'ono published a report in 2020 exposing a COVID-19 Personal Protective Equipment procurement scandal, which led to the sacking of the then minister of Health, Obadiah Moyo. The security forces later arrested Chin'ono on allegations of incitement to cause public violence, a move described by international critics as an onslaught on press and digital freedom.",Zimbabwe,22 June 2022,2022
Zimbabwe: Cabinet resolution to introduce SMART cities traffic management system,"The government of Zimbabwe is set to introduce a SMART cities traffic management system across major urban areas of the country, according to a cabinet resolution adopted on the 17th of May, 2022. Cameras which capture the data of various persons will be installed at all major intersections and what the government terms 'strategic points' to 'gather information' and monitor traffic flow. 

The idea behind the camera rollout is to enhance operational efficiencies in law enforcement and traffic management, according to the cabinet resolution. Considering President Mnangagwa's obsession with consolidating power and keeping dissenting voices under check as part of authoritarian rule, the camera rollout is, in essence, part of the broader pervasive and panoptic surveillance measures being implemented by his administration. This ties into the key thematic area of data governance, with a particular focus on privacy and surveillance, effectively revealing digital totalitarianism in Zimbabwe.","The government led by President Emmerson Mnangagwa is exploring as many methods as possible to crack down on voices of dissent in the country, including promulgating a raft of draconian laws and the use of expensive surveillance technology. Ever since the military coup of November 2017, which deposed the late strongman Robert Mugabe, Mnangagwa has become increasingly paranoid about the prospect of being removed from power by popular protest. His regime's strategy, therefore, has been to use a specific and targeted approach to dealing with political threats through surveillance, use of spyware, isolation and arrests of perceived enemies of the state. The rollout of surveillance technology could not have come at a better time, as the country heads for elections in 2023. The main motive for the use of surveillance cameras is not for the security of the public as officially announced, but for clamping down on opposition party leaders, journalists, lawyers and other voices of dissent.",Zimbabwe,17 May 2022,2022
"Tanzania publishes EPOCA, resulting in stricter online content regulation","The Electronic and Postal Communications (SIM Card Registration) Regulations – EPOCA (the SCR Regulations) were published by the Tanzanian government in 2020. These regulations are aimed at curtailing freedom of expression online and cutting down media freedom. A number of the attached items in this analysis indicate that the government is using this law to suppress constitutionally enshrined freedom of expression and the media.
Additionally, the regulations require Tanzanian nationals and residents to register their SIM cards through a new biometric registration system launched by the Tanzania Communication Regulatory Authority (TCRA). It is important to note that the TCRA has served as a useful tool for the government to crack down on voices of dissent by summoning editors, denying license renewals and openly censuring criticism of the government.
As part of its broader efforts to encourage self-censorship and instill a sense of fear within the populace, Tanzanians are required to register with the National Identification Authority (NIDA), and share their fingerprints and documents detailing their proof of identity. Their NID/NIN (National Identification/National Identification Number) is then linked to a registered SIM card. This abrogates the government's unfettered powers to easily identify and persecute any individual who criticizes state policies or offer counter-narratives to the status quo.
Considering that Tanzania does not have any data protection legislation, it makes communication interception likely, which impedes on privacy rights. Further, state security may use this lacuna to intercept communication under the pretext of criminal investigations and or national security, yet it would be a political ruse to crack down on voices of dissent.
The widely criticized EPOCA Regulations also require that internet cafes install CCTVs on their premises, and keep a record of their internet services users (Name, ID, telephone number).","To monitor and surveil people's actions online, and ensure that they are in accordance with the law.",Tanzania,17 July 2020,2020
Tweets about fuel shortages led to the arrest of Venezuelan oil union leader Eudis Girot,"In November 2020, Venezuelan security officers arrested Eudis Girot, an oil workers' union leader (PDVSA), after he tweeted about upcoming fuel shortages across the country (and during the pandemic). Authorities believed his tweets could ""generate commotion and panic"".

Prosecutors charged and convicted Girot with terrorism, the release of confidential state information, the prompting of others to commit a crime and illicit possession of a firearm. Eudis Girot is one of 10 left-wing social actors who have been criminalized since 2018, and one of 40 people convicted for incidents related to the pandemic. 
","1. Limiting freedom of expression (especially information about the humanitarian crisis or shortages)
2. Cracking down on dissident voices",Venezuela,20 November 2020,2020
Investigative journalists reveal that the Hungarian government has been using Pegasus spyware on critics,"In 2018, the Hungarian government started deploying the Pegasus spyware; according to the investigative reporting done by Direkt36, it targeted approximately 300 Hungarian citizens. Many of the targets are journalists, influential business actors with control over independent media, civil society actors, and critics of the government. The government first did not admit that it bought and used the software but a few months later it did confirm the allegation. ","The Hungarian government has a long history of attacking, intimidating, and discrediting civil society, media workers, and critical voices. It started with the stigmatization of civil society organizations that receive funding from abroad. The variety of tools it applied to stifle dissenting voices became more diverse over the years. The Pegasus case is, however, distinct from these, as, without the investigation, we wouldn’t have known about it. The other attacks on civil society were more public and were linked to the creation of a false public image of those actors. The Pegasus case shows that the government uses all available tools to gather information about dissenting voices and actors who threaten its position. 
",Hungary,1 July 2021,2021
Independent UN experts condemn internet and communication shutdown in Kashmir,"On 22 August 2019, independent UN experts, including the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression, issued a statement condemning the Indian government's move to impose a complete internet and communication shutdown in Kashmir. In the statement issued, the experts condemn the move and describe it as: “The shutdown of the internet and telecommunication networks, without justification from the Government, are inconsistent with the fundamental norms of necessity and proportionality,” They add: “The blackout is a form of collective punishment of the people of Jammu and Kashmir, without even a pretext of a precipitating offence.”
(Further reading:  https://www.ohchr.org/en/press-releases/2019/08/un-rights-experts-urge-india-end-communications-shutdown-kashmir )

A day before the Union government abrogated Article 370, which gave special status to Jammu and Kashmir, it imposed restrictions on movement and connectivity.  Besides targeting the internet and telecommunications, there were restrictions on movement on the ground; local leaders were detained, and the press was not allowed to report freely. 

This was the beginning of a series of communication blockades in the form of social media bans, landline restrictions, provision of only 2G services, etc. 4G services were restored on 5th February 2021.","The restrictions were likely imposed to curb any protests or agitations arising from the sudden abrogation of Article 370. As per news sources, the government justified the restrictions by calling them necessary to ensure national security and peace in the region.  In Parliament, addressing concerns about the lack of internet and communication facilities, Home Minister Amit Shah clarified that these measures were necessary for ""preventing some nefarious elements from instigating violence in the State"" and that ""no one can stop the government to take precautionary measures to protect the peace inside the country.""
Speaking to media sources, an article published in 2022 notes that the Minister of Foreign Affairs commented: ""The big song and dance about the internet being cut…if you've reached a stage where you say that an internet cut is more dangerous than loss of human lives, then what can I say?"" 
The government has described the abrogation as a positive move that was much needed. In a press note, it described the move as follows: ""The Indian parliament passed legislation last month changing the status of the state of Jammu and Kashmir, modifying provisions that have been an obstacle to economic development and promoted a sense of separatism.
(For further reading: https://mea.gov.in/articles-in-foreign-media.htm?dtl/31853/Changing_the_status_of_Jammu_and_Kashmir_will_benefit_all_of_India) ",India,22 August 2019,2019
"Investigation into China reveals that the country expanded the scope of its surveillance, asking hotels to place police cameras in their lobbies.","Researchers of digital authoritarianism have investigated many incidents revealing the Chinese's government extensive use of surveillance technology. This incident helps us go one step further to understand how the Chinese police expanded the scope of government-led surveillance. 

The New York Times reviewed over 100,000 documents provided by the digital magazine ChinaFile regarding the increasing use of surveillance technologies in the country. According to records, the Chinese police wanted to place cameras in places where people go to fulfill their common needs, like eating, traveling, shopping and entertainment. 

One finding in the documents was that the police wanted to place facial recognition cameras in hotel lobbies, such as Sheraton Hotel. This incident shows that the government attempts to expand its surveillance from the streets to hotels and many other places, violating the privacy of its citizens.

To fully understand China's expanding surveillance and control mechanism, it is essential to note that the government cooperates with big tech companies which are producing surveillance technologies. For this very reason, Hikvision and Dahua, two Chinese companies dominating the surveillance technology market, were sanctioned by the United States for taking part in China's human rights violations.

The items linked to this incident approach it from a thematic perspective, looking at media items related to this incident and to surveillance at a broader level, asking, ""How are states justifying their surveillance measures and how are civil society actors responding?""","The main motivation of the Chinese government is to create an overarching control mechanism in the country, which would help the government track, control, and punish its citizens' activities. In so doing, the government could regulate the behaviors, especially of its minorities, and prevent them from getting organized against the government's atrocities. ",China,21 June 2022,2022
